RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,LSR_TIME_USE_PURPS_RN1_VALUE,LSR_TIME_USE_PURPS_RN2_VALUE,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE,INTRST_LSR_ACT_RN1_VALUE,INTRST_LSR_ACT_RN2_VALUE,INTRST_LSR_ACT_RN3_VALUE,INTRST_LSR_ACT_RN4_VALUE,INTRST_LSR_ACT_RN5_VALUE
53357601,20230517,F,30대,서울특별시,300이상500만원 미만,자기만족-즐거움을 위해,마음의 안정-휴식을 위해,2,6,70,11,1,18,0,쇼핑,영상 컨텐츠 시청,음악-라디오 감상,음악 공연 관람,미용
53357616,20230517,M,20대,서울특별시,300이상500만원 미만,스트레스 해소를 위해,자기만족-즐거움을 위해,2,5,20,30,30,20,0,산책-걷기,쇼핑,국내 프로스포츠 영상 시청,가족-친지 만남,어학-기술-자격증 취득
53357636,20230517,F,50대,충청남도,700만원 이상,마음의 안정-휴식을 위해,자기만족-즐거움을 위해,3,8,40,20,20,20,0,산책-걷기,맛집-카페 탐방,영상 컨텐츠 시청,게임,반려동물 돌보기
53357950,20230517,M,50대,경기도,700만원 이상,마음의 안정-휴식을 위해,가족-지인 등과 시간을 보내기 위해,4,8,50,30,20,0,0,산책-걷기,골프 직접 하기,영화관 관람,쇼핑,영상 컨텐츠 시청
53358130,20230517,F,40대,대구광역시,500이상700만원 미만,가족-지인 등과 시간을 보내기 위해,자기 계발을 위해,2,5,20,20,10,50,0,가족-친지 만남,걷기-속보-조깅 직접 하기,산책-걷기,음악-라디오 감상,쇼핑
53358417,20230517,F,50대,경기도,700만원 이상,자기만족-즐거움을 위해,마음의 안정-휴식을 위해,3,5,10,70,10,10,0,골프 직접 하기,수다-잡담하기,쇼핑,종교활동,캠핑-차박
53358464,20230517,M,30대,경기도,300이상500만원 미만,마음의 안정-휴식을 위해,스트레스 해소를 위해,4,12,60,20,20,0,0,헬스-보디빌딩 직접 하기,게임,없음,없음,없음
53358711,20230517,F,40대,경상남도,700만원 이상,스트레스 해소를 위해,마음의 안정-휴식을 위해,2,3,60,20,10,10,0,만화책 보기,영상 컨텐츠 시청,쇼핑,낮잠자기,산책-걷기
53358801,20230517,F,20대,전라남도,무응답,마음의 안정-휴식을 위해,대인 관계-교제를 위해,3,6,50,0,50,0,0,어학-기술-자격증 취득,영상 컨텐츠 시청,낮잠자기,SNS -인터넷 커뮤니티 활동,쇼핑
53358853,20230517,F,20대,경기도,500이상700만원 미만,자기만족-즐거움을 위해,스트레스 해소를 위해,1,3,100,0,0,0,0,게임,없음,없음,없음,없음
53358940,20230517,M,40대,울산광역시,300이상500만원 미만,가족-지인 등과 시간을 보내기 위해,없음,0,1,80,0,0,20,0,영상 컨텐츠 시청,없음,없음,없음,없음
53358952,20230517,F,40대,인천광역시,300이상500만원 미만,마음의 안정-휴식을 위해,자기만족-즐거움을 위해,3,9,80,0,0,20,0,영상 컨텐츠 시청,없음,없음,없음,없음
53359026,20230517,F,30대,전라북도,300만원 미만,마음의 안정-휴식을 위해,자기만족-즐거움을 위해,5,12,40,20,20,20,0,반려동물 돌보기,수집,SNS -인터넷 커뮤니티 활동,국내 여행,산책-걷기
53359078,20230517,F,50대,경기도,300만원 미만,마음의 안정-휴식을 위해,스트레스 해소를 위해,2,4,50,0,0,50,0,국내 여행,소풍-피크닉,기타 관광-여행,없음,없음
53359125,20230517,F,40대,부산광역시,300이상500만원 미만,마음의 안정-휴식을 위해,스트레스 해소를 위해,5,10,50,0,50,0,0,영상 컨텐츠 시청,쇼핑,독서,없음,없음
53359292,20230517,M,60대,광주광역시,300이상500만원 미만,스트레스 해소를 위해,남는 시간을 보내기 위해,1,5,0,23,50,27,0,자전거-싸이클-산악자전거 직접 타기,줄넘기-맨손체조-스트레칭 직접 하기,요리-베이킹,없음,없음
53359294,20230517,F,30대,경상남도,300만원 미만,자기만족-즐거움을 위해,자기 계발을 위해,1,3,60,0,25,15,0,독서,영상 컨텐츠 시청,SNS -인터넷 커뮤니티 활동,어학-기술-자격증 취득,맛집-카페 탐방
53359322,20230517,F,20대,경기도,700만원 이상,가족-지인 등과 시간을 보내기 위해,자기만족-즐거움을 위해,3,5,10,5,5,80,0,친구-이성친구 만남,영상 컨텐츠 시청,등산 직접 하기,요가-필라테스 직접 하기,맛집-카페 탐방
53359540,20230517,F,60대,서울특별시,300만원 미만,마음의 안정-휴식을 위해,가족-지인 등과 시간을 보내기 위해,1,3,20,20,30,20,10,산책-걷기,미술 직접 활동 및 수강하기,생활공예-원예,독서,요리-베이킹
53359552,20230517,F,20대,서울특별시,700만원 이상,건강 관리를 위해,마음의 안정-휴식을 위해,3,5,25,50,10,15,0,수영 직접 하기,헬스-보디빌딩 직접 하기,친구-이성친구 만남,맛집-카페 탐방,쇼핑
53359597,20230517,M,30대,충청북도,300만원 미만,자기만족-즐거움을 위해,스트레스 해소를 위해,3,6,30,50,10,10,0,격투 스포츠 현장 관람,게임,영화관 관람,영상 컨텐츠 시청,친구-이성친구 만남
53359914,20230517,M,50대,경기도,700만원 이상,자기만족-즐거움을 위해,대인 관계-교제를 위해,2,4,10,50,0,20,20,골프 직접 하기,자전거-싸이클-산악자전거 직접 타기,등산 직접 하기,산책-걷기,골프 영상 시청
53360059,20230517,F,20대,전라북도,무응답,마음의 안정-휴식을 위해,자기만족-즐거움을 위해,5,5,60,30,0,10,0,SNS -인터넷 커뮤니티 활동,영상 컨텐츠 시청,만화책 보기,연극-뮤지컬 관람,쇼핑
53360062,20230517,F,30대,충청남도,500이상700만원 미만,스트레스 해소를 위해,자기만족-즐거움을 위해,2,4,20,10,0,0,70,국내 여행,드라이브,라켓스포츠 직접 하기,등산 직접 하기,헬스-보디빌딩 직접 하기
